
itching, skin_rash, nodal_skin_eruptions, dischromic_patches
 skin_rash, nodal_skin_eruptions, dischromic_patches
itching, nodal_skin_eruptions, dischromic_patches
itching, skin_rash, dischromic_patches
itching, skin_rash, nodal_skin_eruptions
 continuous_sneezing, shivering, chills, watering_from_eyes
 shivering, chills, watering_from_eyes
 continuous_sneezing, chills, watering_from_eyes
 continuous_sneezing, shivering, watering_from_eyes
 continuous_sneezing, shivering, chills
 stomach_pain, acidity, ulcers_on_tongue, vomiting
 stomach_pain, ulcers_on_tongue, vomiting, cough
 stomach_pain, acidity, vomiting, cough
 stomach_pain, acidity, ulcers_on_tongue, cough
 acidity, ulcers_on_tongue, vomiting, cough
itching, vomiting, yellowish_skin, nausea
 vomiting, yellowish_skin, nausea, loss_of_appetite
itching, yellowish_skin, nausea, loss_of_appetite
itching, vomiting, nausea, loss_of_appetite
itching, vomiting, yellowish_skin, loss_of_appetite
itching, skin_rash, stomach_pain, burning_micturition
itching, stomach_pain, burning_micturition, spotting_ urination
itching, skin_rash, burning_micturition, spotting_ urination
itching, skin_rash, stomach_pain, spotting_ urination
 skin_rash, stomach_pain, burning_micturition, spotting_ urination
 vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
 vomiting, indigestion, abdominal_pain, passage_of_gases
 indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
 vomiting, indigestion, loss_of_appetite, passage_of_gases
 vomiting, indigestion, loss_of_appetite, abdominal_pain
 muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
 patches_in_throat, high_fever, extra_marital_contacts
 muscle_wasting, high_fever, extra_marital_contacts
 muscle_wasting, patches_in_throat, extra_marital_contacts
 muscle_wasting, patches_in_throat, high_fever
 fatigue, weight_loss, restlessness, lethargy
 weight_loss, restlessness, lethargy, irregular_sugar_level
 fatigue, restlessness, lethargy, irregular_sugar_level
 fatigue, weight_loss, lethargy, irregular_sugar_level
 fatigue, weight_loss, restlessness, irregular_sugar_level
 vomiting, sunken_eyes, dehydration, diarrhoea
 sunken_eyes, dehydration, diarrhoea
 vomiting, dehydration, diarrhoea
 vomiting, sunken_eyes, diarrhoea
 vomiting, sunken_eyes, dehydration
 fatigue, cough, high_fever, breathlessness
 cough, high_fever, breathlessness, family_history
 fatigue, high_fever, breathlessness, family_history
 fatigue, cough, breathlessness, family_history
 fatigue, cough, high_fever, family_history
 headache, chest_pain, dizziness, loss_of_balance
 chest_pain, dizziness, loss_of_balance, lack_of_concentration
